Fr,Idx,X,Y,Z,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
2,13406,18.97158051,-6.265954018,-0.131813973,1.799999952,19.97999954,-0.377999946,-18.27741164,Target 2-3,20,65.00%
2,13407,18.95908737,-6.271885872,0.131748006,1.799999952,19.96999931,0.37799997,-18.30481396,Target 2-3,20,65.00%
2,13409,18.9757061,-6.277384281,0.342245668,1.839999914,19.98999977,0.981000014,-18.30481598,Target 2-3,20,65.00%
2,13411,18.98072624,-6.279044628,0.552849829,1.839999914,20,1.583999838,-18.30481496,Target 2-3,20,65.00%
2,13413,18.94569588,-6.267456055,0.76190269,1.919999957,19.96999931,2.186500064,-18.30481463,Target 2-3,20,65.00%
2,13415,18.95994186,-6.282240868,1.026674867,1.799999952,20,2.942500103,-18.33224511,Target 2-3,20,65.00%
2,13418,18.95812035,-6.281637669,1.237267375,1.639999986,20.01000023,3.544999793,-18.33224606,Target 2-3,20,65.00%
2,13421,18.92579842,-6.270927906,1.445589185,0.199999988,19.98999977,4.146999454,-18.33224572,Target 2-3,20,65.00%
2,13439,19.0737381,-6.402285576,0.132737592,0.399999976,20.11999893,0.377999965,-18.55482787,Target 2-3,20,65.00%
2,13441,18.9196949,-6.350579739,0.341732025,0.719999969,19.95999718,0.981000096,-18.55482858,Target 2-3,20,65.00%
2,13444,18.99105072,-6.374530792,0.553955495,1.039999962,20.0399971,1.583999932,-18.55482797,Target 2-3,20,65.00%
2,13447,18.92763901,-6.353245735,0.762284219,1,19.97999954,2.186500262,-18.55482716,Target 2-3,20,65.00%
3,2641,7.470108509,6.551110268,-0.825424373,1.360000014,9.969999313,-4.748999932,41.25000403,Target 1-1,10,3.00%
3,2643,7.468718052,6.549890995,-0.720263541,1.319999933,9.960000038,-4.14699946,41.25000457,Target 1-1,10,3.00%
3,2646,7.45148325,6.534776211,-0.613996208,1.360000014,9.929999352,-3.544999764,41.25000342,Target 1-1,10,3.00%
3,2648,7.455924988,6.53867197,-0.509744048,1.279999971,9.929999352,-2.942500181,41.25000541,Target 1-1,10,3.00%
3,2654,7.471868515,6.540012836,0.065511145,1.24000001,9.929999352,0.377999973,41.19516538,Target 1-1,10,3.00%
3,2657,7.463412762,6.532611847,0.169838771,1.279999971,9.920000076,0.981000061,41.19516626,Target 1-1,10,3.00%
